,places,ratings,tags,review
0,malshej ghats,4.5,"nature , parks, mountains, ghat","Going to the top of the mountain is must in mountains, if you want to experience dark fog and near zero visibility sometimes. This place is simply awesome with its beauty of ghat. There is a conference room but that is also deteriorating in quality. While driving you will be able to see the ghats and hills from Tokawade village itself. "
1,phoenix market city,4.5,"shopping, shopping malls",The prices seem reasonable and easy access to shops. The food court is also big and has good variety of food. There is play zone but you need to take a card and recharge for min Rs. 500 to use the rides and this was bad as we wanted to try a ride which is only Rs.40. 
2,sinhagad fort,4.5,"sights , landmarks, castles, historic",An important part of History of Maharashtra. Today this is a good one day picnic spot for Punekars. Lots of historic  points to explore inside. 
3,iskcon nvcc temple,4.5,"sights , landmarks, sacred , religious sites","Good place to visit with family and kids. Accommodation, catering, organic oils etc are avalable. the template is so peaceful. Best place to visit awesome enverment devotional things, peacefull kirtan, clean surrounding friendly behavior. As I visited Iskcon temple many a times in Bangalore hence this looks smaller to me. "
4,national defence academy,5,"sights , landmarks, educational sites","The military precision in the timing of the Antim Path and the MIG's flying overhead simultaneoulsy is just spectacular!Think how much helpful it is for the future officers to spend few years here. Its a must to visit place in Pune. Explore beauty of place at a backdrop of discipline. It spans 7,015 acres of the 8,022 acres. "
5,pune okayama friendship garden,4.5,"nature , parks, gardens","This place is a most visit place . The Friendship garden in situated under the famous garden ""Pu La Deshpande""Need to pay minimal entry fees. This garden has been filmed in many movies and albums. "
6,sri balaji mandir,4.5,"sights , landmarks, sacred , religious sites","It's a very well maintained, extremely clean place. The temple is build on the theme of Tirupati Balaji. Temple is replica of the Balaji Temple in South India. "
7,dagadusheth halwai ganapati temple,4.5,"sights , landmarks, sacred , religious sites","Some engage Guruji's to carry out some special Pooja. This place is located in the area near Shaniwar Wada. Calmness the Ganesha offered amidst the crowds and noise is amazing. Preferred transportation to reach here is either walking, 2 wheeler or the best will be to go here by rick. "
8,visapur fort,4.5,"sights , landmarks, historic sites",The path is not very well defined and one can get a bit lost. You can park at the base of the fort. We took the one from Patan village since is was supposed to be more exciting than the one from Lohagad. 
9,rajgad fort,4.5,"sights , landmarks, ancient ruins","The place is historic and attracts many tourists to it. Located in Pune district, it can be accessed via Pune - Satara highway and then on towards Margasani village. It is very beautiful during the rainy season, I was not prepared and luckily not reach the top but it was very exciting. "
10,laxmi road,4,"sights , landmarks, points of interest","You can actually get what you want from clothes to groceries to umbrellas and everything. This is the shopping hub of pune. One of the key roads in older part of Pune city. Dotted with numerous shops for traditional Indian attire from Maharashtra - sarees, churidars, gold, silver, diamond jewellery. Primarily famous for clothing n gold merchants, Laxmi road is the heart of pune when it comes to being traditional. "
11,pawna lake,4.5,"nature , parks, bodies of water",Avoid big sedan or Traveller or geep like cars like fortuner or even Traveller as they won't fit. (In our trip we were the only one to able to pass that road while many fortuners and even a Traveller had to stop their. One day is sufficient to plan a visit. Pawna lake was beautiful and surrounding by greenery. 
12,baps shri swaminarayan mandir,4.5,"sights , landmarks, sacred , religious sites",Many People Visit this Mandir. Good quality Food is available. Temple & surrounding area are well maintained. Ample space for parking. Anyone can spend 2-3 hours. Small canteen is also available. 
13,amanora mall,4.5,"shopping, shopping malls",It has two buildings attached to each other and at times you will get a feeling of getting trapped in a maze. There are two malls back to back. Keep the grades going high guyz. We visited this mall when we stayed at the fern hotel in pune. 
